open_time,open,high,low,close,volume
1767225600000,4325.82,4327.57,4325.82,4327.56,0.808
1767226500000,4327.84,4327.84,4326.55,4327.32,12.289
1767227400000,4327.78,4327.78,4327.51,4327.56,0.082
1767228300000,4328.24,4328.49,4327.56,4328.43,6.575
1767229200000,4328.01,4328.01,4328.0,4328.01,0.549
1767230100000,4328.01,4328.01,4326.64,4326.91,4.695
1767231000000,4326.97,4327.14,4326.44,4326.44,1.219
1767231900000,4326.44,4326.69,4325.04,4325.27,3.802
1767232800000,4324.33,4324.95,4324.18,4324.55,8.563
1767233700000,4325.74,4326.76,4325.73,4326.09,1.576
1767234600000,4326.08,4326.08,4322.02,4322.02,0.688
1767235500000,4322.02,4322.02,4321.17,4322.02,0.561
1767236400000,4321.43,4322.01,4321.16,4321.82,2.071
1767237300000,4321.46,4324.19,4321.46,4323.78,5.322
1767238200000,4324.46,4325.7,4324.46,4325.69,0.488
1767239100000,4325.91,4328.44,4321.25,4327.72,2.083
1767240000000,4328.41,4329.57,4326.37,4329.57,2.246
1767240900000,4330.0,4330.71,4330.0,4330.71,5.931
1767241800000,4330.51,4330.51,4329.03,4329.99,3.566
1767242700000,4330.39,4330.39,4329.0,4329.0,11.621
1767243600000,4329.3,4330.78,4329.02,4330.47,5.435
1767244500000,4331.05,4331.36,4329.08,4329.08,1.155
1767245400000,4329.0,4330.13,4329.0,4330.13,5.455
1767246300000,4330.13,4333.0,4330.13,4331.96,4.472
1767247200000,4331.96,4333.21,4330.42,4333.21,9.489
1767248100000,4333.01,4333.98,4332.73,4332.73,2.063
1767249000000,4331.94,4336.77,4331.93,4334.93,3.266
1767249900000,4334.93,4334.93,4329.0,4330.16,6.88
1767250800000,4329.05,4330.16,4324.1,4325.41,17.465
1767251700000,4324.01,4327.4,4324.0,4324.0,3.019
1767252600000,4325.01,4325.01,4324.04,4324.25,1.748
1767253500000,4324.25,4324.25,4323.1,4324.1,2.41
1767254400000,4324.73,4327.33,4324.73,4325.59,1.583
1767255300000,4325.78,4325.78,4324.0,4324.0,0.522
1767256200000,4324.0,4325.11,4323.38,4323.39,10.548
1767257100000,4324.29,4324.29,4323.39,4324.04,0.675
1767258000000,4323.99,4326.21,4323.4,4326.17,2.83
1767258900000,4326.06,4327.33,4326.06,4327.29,2.526
1767259800000,4327.29,4327.29,4327.27,4327.28,0.442
1767260700000,4326.06,4327.3,4326.06,4326.06,5.871
1767261600000,4326.1,4327.37,4325.17,4326.21,5.124
1767262500000,4323.35,4326.5,4323.35,4325.97,8.159
1767263400000,4326.61,4327.13,4326.36,4326.7,1.008
1767264300000,4327.52,4327.52,4327.07,4327.51,0.211
1767265200000,4326.25,4329.1,4326.25,4328.21,1.314
1767266100000,4327.56,4327.94,4327.23,4327.23,3.191
1767267000000,4326.71,4326.91,4323.51,4323.51,19.101
1767267900000,4327.19,4327.63,4323.35,4323.35,18.12
1767268800000,4324.3,4326.09,4323.82,4323.82,2.829
1767269700000,4325.22,4325.22,4322.3,4324.32,42.26
1767270600000,4324.31,4324.32,4323.39,4324.31,7.657
1767271500000,4323.65,4325.29,4323.22,4325.29,19.96
1767272400000,4325.28,4326.65,4324.65,4325.61,1.942
1767273300000,4325.61,4328.4,4325.61,4327.9,1.457
1767274200000,4327.01,4327.9,4325.02,4325.84,1.59
1767275100000,4325.12,4326.18,4324.16,4324.86,3.6
1767276000000,4324.86,4329.59,4324.17,4329.31,6.146
1767276900000,4329.31,4329.31,4327.91,4329.2,1.886
1767277800000,4329.2,4329.99,4328.28,4329.19,7.202
1767278700000,4328.97,4329.24,4328.51,4328.51,4.565
1767279600000,4328.51,4328.6,4328.51,4328.59,1.084
1767280500000,4328.15,4329.5,4328.14,4329.27,1.249
1767281400000,4328.87,4330.0,4328.14,4328.62,2.928
1767282300000,4329.3,4329.59,4329.12,4329.5,2.064
1767283200000,4328.55,4330.0,4328.55,4330.0,3.798
1767284100000,4330.0,4331.66,4326.59,4328.81,4.478
1767285000000,4328.24,4329.16,4328.24,4329.15,8.047
1767285900000,4329.18,4329.18,4327.37,4328.8,2.156
1767286800000,4328.12,4330.39,4328.12,4329.98,2.436
1767287700000,4329.97,4331.61,4329.97,4331.1,4.03
1767288600000,4331.53,4332.69,4330.65,4331.52,4.109
1767289500000,4331.22,4332.54,4329.48,4329.48,2.709
1767290400000,4330.15,4330.15,4329.49,4329.94,1.247
1767291300000,4329.45,4330.01,4329.44,4329.75,0.811
1767292200000,4329.75,4330.96,4329.75,4330.93,0.623
1767293100000,4330.93,4332.0,4330.09,4332.0,0.765
1767294000000,4331.21,4331.7,4330.93,4331.06,0.702
1767294900000,4331.4,4331.68,4331.4,4331.47,0.556
1767295800000,4330.6,4331.45,4329.95,4330.34,0.711
1767296700000,4330.09,4330.47,4330.09,4330.14,3.922
1767297600000,4330.31,4330.79,4326.82,4326.82,2.659
1767298500000,4327.68,4329.19,4327.68,4328.85,1.654
1767299400000,4328.49,4328.87,4328.49,4328.87,2.279
1767300300000,4327.38,4328.89,4327.38,4327.97,1.351
1767301200000,4328.36,4328.57,4328.16,4328.29,3.484
1767302100000,4328.49,4328.49,4326.9,4326.9,0.67
1767303000000,4326.63,4327.11,4326.32,4326.8,0.348
1767303900000,4326.61,4326.61,4326.17,4326.17,0.011
1767304800000,4325.14,4326.34,4325.14,4325.59,4.022
1767305700000,4325.26,4325.37,4325.26,4325.37,0.06
1767306600000,4325.37,4325.59,4325.0,4325.59,2.978
1767307500000,4325.01,4326.0,4323.42,4325.55,22.881
1767308400000,4325.96,4337.29,4324.92,4334.75,54.565
1767309300000,4333.0,4347.59,4333.0,4345.25,26.132
1767310200000,4344.0,4348.94,4342.11,4348.86,15.658
1767311100000,4346.69,4356.2,4346.46,4351.87,21.987
1767312000000,4352.94,4356.24,4348.22,4351.77,33.917
1767312900000,4351.77,4352.65,4344.74,4349.76,26.857
1767313800000,4350.91,4353.0,4349.76,4352.56,6.798
1767314700000,4352.96,4357.88,4352.55,4356.79,27.125
1767315600000,4357.67,4357.68,4348.15,4350.45,19.99
1767316500000,4348.72,4351.34,4347.01,4351.34,7.455
1767317400000,4351.64,4353.1,4347.89,4348.81,4.5
1767318300000,4347.89,4354.83,4347.89,4351.69,6.306
1767319200000,4349.68,4352.76,4347.92,4347.92,10.431
1767320100000,4348.9,4348.91,4347.0,4347.95,9.49
1767321000000,4350.0,4353.48,4346.01,4353.47,8.658
1767321900000,4351.39,4362.96,4350.5,4362.96,64.779
1767322800000,4363.96,4372.5,4362.24,4369.45,36.443
1767323700000,4369.07,4370.73,4366.1,4369.27,28.933
1767324600000,4370.73,4375.0,4370.0,4374.22,30.021
1767325500000,4374.54,4376.66,4372.38,4374.44,47.228
1767326400000,4374.18,4377.95,4374.18,4375.13,36.366
1767327300000,4374.25,4376.17,4371.7,4372.65,22.511
1767328200000,4374.41,4374.41,4371.51,4373.27,30.187
1767329100000,4373.46,4376.15,4370.62,4371.5,35.791
1767330000000,4371.5,4380.0,4369.74,4377.91,40.247
